timestamp,vibration,label,condition,cooling_duration,vibration_reduction,cooling_efficiency,stable_vibration,peak_vibration,avg_vibration
2025-04-07 18:14:07.322560,2214.1252282898563,0,Normal,13.703682328589942,0.38792812021442363,Efficient,1355.2037905600407,2289.972626178679,1674.3937883803962
2025-03-28 13:44:07.322560,1858.4614625764343,0,Normal,17.206782040169546,0.5356600633615901,Efficient,862.957877777668,1889.7648940651927,1237.698606353334
2025-04-07 07:44:07.322560,1770.1592939747406,0,Normal,16.945420031104042,0.5889834302390868,Efficient,727.5648009398979,1843.2206180621565,1205.3279277390743
2025-03-25 18:14:07.322560,2612.883458340509,0,Normal,16.795504442228104,0.5630539639412709,Efficient,1141.6890698053087,2624.9448343522386,1749.3566327439125
2025-04-03 00:14:07.322560,2008.3339726106478,0,Normal,15.454021535223195,0.5121899165197626,Efficient,979.685562835397,2060.4555508511685,1444.4520415184181
2025-03-25 20:44:07.322560,8778.098971656844,2,Failure,12.675280490990588,0.4774455585387596,Inefficient,4587.034605225631,9640.107955345089,6798.378440340234
2025-03-24 20:14:07.322560,6297.2332407766135,1,Overheating,18.2856466044857,0.5831143330715061,Efficient,2625.2262793854397,6749.329779289871,4109.072781419421
2025-04-02 08:14:07.322560,5041.973679931884,1,Overheating,17.896177463222546,0.5558940047400763,Efficient,2239.170739200489,5309.378223962633,3311.37743146592
2025-03-28 05:14:07.322560,5782.650070269371,1,Overheating,16.232775862139057,0.5359030127293525,Efficient,2683.710476052413,6080.915887070488,4060.0981133127393
2025-03-31 17:14:07.322560,6436.7729882086805,1,Overheating,17.34402745783366,0.6367015914365431,Efficient,2338.46938290046,6547.4573158598805,4249.178775085689
2025-04-06 05:44:07.322560,9055.531066363192,2,Failure,18.416865732245462,0.553075804391496,Inefficient,4047.1359376421883,9131.991170187614,5826.568759069607
2025-03-27 21:14:07.322560,2281.785848063314,0,Normal,18.172469975345457,0.598004229856556,Efficient,917.2682592946235,2463.8695339049154,1482.148450862423
2025-03-28 00:44:07.322560,5355.6045016447715,1,Overheating,18.90191755260392,0.664965638854226,Efficient,1794.3115327579872,5357.442515687442,3319.0158242229936
2025-04-01 18:44:07.322560,5778.009213411271,1,Overheating,15.487625467569258,0.5434805691168254,Efficient,2637.7734777442524,5844.848839916999,4090.9579718204236
2025-03-18 10:14:07.322560,9023.858427781459,2,Failure,12.408935049523018,0.4654599641352488,Inefficient,4823.6136076247385,9502.615266514356,7003.98214233857
2025-03-30 09:14:07.322560,1729.4745423763927,0,Normal,14.165078179374326,0.46207022137164766,Efficient,930.3358577239039,1833.8598812660452,1281.8431611862663
2025-03-24 19:44:07.322560,1999.4249137610093,0,Normal,15.85464055168554,0.5342865810275912,Efficient,931.1590125662533,2113.645009528574,1396.7192833935446
2025-03-28 23:14:07.322560,6016.564060835466,1,Overheating,17.01061134147526,0.5174444248636628,Efficient,2903.3265307210745,6198.996295491325,4032.167124428642
2025-03-25 11:44:07.322560,9006.86701979002,2,Failure,17.739017317154154,0.5785444228322995,Inefficient,3795.9943382983297,9350.258589896228,5775.413925484311
2025-03-19 11:14:07.322560,5788.200709135912,1,Overheating,17.203372554778483,0.5796947383416603,Efficient,2432.811213584357,5675.338978213138,3893.755357466323
2025-04-01 00:44:07.322560,6488.922909498145,1,Overheating,18.323307383558316,0.651626449274444,Efficient,2260.569114366274,6599.913210864755,4277.917908653658
2025-04-06 13:14:07.322560,9920.454398679596,2,Failure,18.055466266280714,0.6798151586688014,Inefficient,3176.3791175746182,9616.317882937752,6421.882533494842
2025-03-28 08:14:07.322560,6446.9646407153605,1,Overheating,16.6109099815495,0.5965567496306706,Efficient,2600.984369666341,6780.8719168100015,4393.801335454765
2025-03-30 13:44:07.322560,1847.3711405954714,0,Normal,12.63010290621797,0.3610421484827858,Efficient,1180.3922949497878,1904.6648450681673,1433.1369010936019
2025-04-07 05:44:07.322560,9367.970612115361,2,Failure,17.487788109604164,0.6023137275753946,Inefficient,3725.513312915408,9486.634840840094,6248.388467712157
2025-03-19 16:44:07.322560,2087.0739697001095,0,Normal,14.097478866525469,0.5545295037996821,Efficient,929.7298768890751,2191.4928893096007,1565.4638172717196
2025-03-18 04:44:07.322560,2108.2335274020284,0,Normal,18.264750253628538,0.5415540061465357,Efficient,966.5112147450178,2234.8555006164343,1381.4564248313457
2025-04-05 03:14:07.322560,2245.8082504359877,0,Normal,13.11111536661103,0.41050574148866714,Efficient,1323.8910693493963,2511.598497420809,1728.2892556186744
2025-03-27 20:44:07.322560,8612.715073557581,2,Failure,17.475409138595477,0.553171176213402,Inefficient,3848.4093459268374,8736.632743454764,5772.558184882498
